id,x,y,z
1,19.83,91.00,31.36
2,80.72,90.56,85.19
3,51.22,79.63,80.63
4,97.92,13.96,44.27
5,14.12,33.07,84.98
6,85.93,18.83,23.45
7,30.62,33.05,40.24
8,13.00,15.46,62.30
9,67.83,66.95,28.70
10,45.63,64.28,85.28
11,91.93,68.83,19.67
12,63.23,23.07,87.07
13,60.92,14.13,8.07
14,51.56,81.06,79.66
15,53.71,37.77,95.40
16,1.93,60.47,73.69
17,2.89,28.18,12.90
18,31.36,32.38,12.58
19,35.53,62.85,22.30
20,8.32,43.76,31.74
21,69.08,22.58,41.36
22,93.57,52.62,66.22
23,6.71,43.13,30.10
24,28.76,76.03,44.29
25,85.78,57.38,55.71
26,46.27,43.73,40.55
27,61.56,6.11,9.14
28,59.28,76.55,85.20
29,64.90,29.37,83.86
30,4.17,8.27,28.40
31,90.92,23.87,67.32
32,23.68,51.44,60.88
33,40.85,20.37,33.24
34,75.25,3.90,97.07
35,21.65,77.04,87.88
36,15.75,9.42,64.24
37,76.12,59.33,24.91
38,8.43,5.91,37.25
39,18.76,4.19,62.53
40,70.68,49.18,65.18
41,81.22,3.82,9.27
42,45.28,55.00,85.90
43,60.43,18.77,74.09
44,72.29,56.57,21.95
45,8.88,48.57,39.16
