id,x,y,z
1,94.28,32.76,94.18
2,13.53,55.43,67.08
3,64.97,94.05,63.39
4,28.22,45.12,83.33
5,37.61,94.95,17.18
6,21.40,69.48,82.46
7,55.51,44.70,34.00
8,94.48,50.72,24.46
9,84.92,88.23,24.92
10,32.99,26.90,54.02
11,35.69,44.96,24.14
12,45.87,66.00,91.73
13,23.44,89.98,93.34
14,98.57,77.57,12.94
15,56.07,57.82,33.19
16,66.47,35.36,1.60
17,83.39,82.56,5.96
18,41.36,91.85,79.14
19,73.96,35.84,50.21
20,29.11,83.86,78.38
21,40.23,35.05,95.11
22,40.98,72.58,16.20
23,95.57,85.16,69.39
24,67.72,81.08,67.23
25,40.71,50.59,95.78
