id,x,y,z
1,62.50,78.03,17.78
2,5.10,77.40,99.77
3,39.44,68.91,31.33
4,63.98,21.77,95.64
5,27.65,98.27,72.58
6,27.91,18.32,52.18
7,61.95,54.79,89.76
8,34.55,65.21,82.06
9,48.73,92.95,70.87
10,78.34,56.04,4.96
11,49.32,6.23,45.23
12,2.67,74.43,31.78
13,73.33,81.04,82.12
14,72.32,48.05,19.04
15,81.04,56.70,60.66
16,18.01,96.82,27.72
17,14.65,45.82,40.72
18,7.14,91.77,74.02
19,55.12,14.03,10.63
20,41.69,47.47,66.41
21,9.77,2.02,34.43
22,99.17,65.83,11.95
23,61.96,16.25,28.97
24,35.89,17.00,79.38
25,7.67,11.81,34.12
26,87.58,35.26,12.64
27,31.43,2.71,50.29
28,4.10,99.97,65.33
29,96.24,21.83,25.83
30,51.77,76.22,11.48
31,46.49,2.07,34.46
32,7.05,19.67,72.27
33,22.18,59.90,43.37
34,26.82,40.19,73.27
35,42.71,86.28,39.19
36,4.65,95.58,11.26
37,61.98,77.16,40.70
38,38.41,57.08,17.65
39,98.05,95.91,95.34
40,97.46,81.60,53.11
