id,x,y,z
1,6.24,85.15,65.03
2,37.42,73.37,73.69
3,84.18,6.76,39.43
4,54.67,81.27,88.99
5,62.55,16.62,52.06
6,68.08,90.16,35.74
7,40.25,22.70,25.15
8,29.72,89.60,32.59
9,79.00,13.39,12.41
10,71.93,54.71,25.04
11,41.95,13.67,53.87
12,30.25,79.36,95.79
13,43.74,88.42,6.35
14,81.79,96.92,2.66
15,68.94,42.07,55.31
16,71.85,49.08,21.79
17,36.31,32.45,48.26
18,61.42,36.41,19.84
19,10.51,63.27,47.26
20,77.98,17.07,56.93
21,29.19,86.17,51.00
22,20.33,51.36,22.19
23,31.67,67.34,71.49
24,82.40,65.39,7.96
25,67.23,57.41,94.83
26,18.03,37.93,35.98
27,55.58,48.09,8.18
28,11.94,6.86,41.45
29,25.95,72.35,18.55
30,61.09,5.50,96.04
31,62.93,80.61,87.44
32,67.78,3.91,24.55
33,46.12,50.93,76.21
34,11.30,81.35,64.93
35,52.25,30.60,70.68
36,80.51,51.18,4.23
37,53.17,76.56,79.40
38,0.41,6.45,6.72
39,18.45,10.12,38.47
40,0.04,26.22,71.81
41,64.36,23.94,29.65
42,36.40,25.97,74.63
43,47.27,24.28,99.38
44,2.65,63.13,9.01
45,65.68,0.93,19.83
46,7.59,17.21,37.63
47,43.85,99.61,33.28
48,88.89,89.61,16.92
49,35.31,12.96,87.22
50,32.19,10.81,79.97
